iter	RMSE
0	75235.57716
1	73585.52765
2	71804.63507
3	70368.70727
4	68818.35688
5	67260.92122
6	65784.38117
7	64319.92269
8	62859.93376
9	61473.62227
10	60333.03336
11	59043.15668
12	57924.50141
13	56663.02137
14	55521.82985
15	54457.28391
16	53407.91805
17	52350.51698
18	51485.13589
19	50636.05842
20	49617.41015
21	48726.59744
22	47930.00567
23	47195.41769
24	46441.34276
25	45760.42027
26	44961.52338
27	44274.50311
28	43621.12911
29	42933.84086
30	42265.22312
31	41676.2484
32	41084.71028
33	40562.75728
34	39958.11151
35	39368.99768
36	38822.65055
37	38336.15267
38	37885.16597
39	37460.94402
40	37011.44458
41	36612.88453
42	36194.20232
43	35813.35953
44	35469.53444
45	35098.1177
46	34677.54976
47	34306.41687
48	33917.91875
49	33551.33978
50	33216.90071
51	33016.08958
52	32659.4356
53	32381.55277
54	32042.45933
55	31752.77892
56	31456.69018
57	31225.22852
58	31019.6129
59	30666.2165
60	30415.20184
61	30156.17649
62	29940.02852
63	29705.40472
64	29478.76246
65	29216.90354
66	29003.9473
67	28826.91556
68	28605.43467
69	28404.90352
70	28168.9803
71	27969.11157
72	27812.93025
73	27609.28331
74	27420.02405
75	27273.61169
76	27119.45976
77	26940.22519
78	26746.20295
79	26534.5612
80	26351.18077
81	26208.50035
82	26044.12926
83	25875.87548
84	25807.22761
85	25674.70171
86	25532.70269
87	25407.67722
88	25295.63423
89	25138.94423
90	25022.01527
91	24888.87098
92	24778.30668
93	24669.82018
94	24649.4307
95	24559.22883
96	24442.90212
97	24300.48127
98	24154.69512
99	24055.02716
100	23943.76643
101	23800.09492
102	23680.87295
103	23595.24366
104	23493.93689
105	23380.98391
106	23238.1624
107	23145.02875
108	23052.94091
109	22978.6589
110	22916.55806
111	22823.38816
112	22693.22562
113	22594.60342
114	22494.03872
115	22380.09783
116	22276.89001
117	22178.83965
118	22069.86645
119	21978.06236
120	21884.2102
121	21821.13133
122	21735.61901
123	21649.86333
124	21551.7868
125	21477.24356
126	21391.8277
127	21301.95292
128	21206.81179
129	21146.80081
130	21069.27138
131	21006.81283
132	20939.0271
133	20874.69981
134	20844.03807
135	20811.6168
136	20750.81908
137	20678.1912
138	20602.92928
139	20533.70768
140	20462.61413
141	20405.82854
142	20343.62781
143	20279.14761
144	20186.81147
145	20110.32729
146	20030.35254
147	19967.46067
148	19903.60547
149	19854.97517
150	19820.29558
151	19750.75272
152	19690.97319
153	19627.81578
154	19571.12173
155	19512.95865
156	19484.04323
157	19415.08659
158	19391.5381
159	19324.59336
160	19262.58281
161	19220.902
162	19164.31746
163	19135.66898
164	19079.58426
165	19063.29807
166	19013.55969
167	18962.97949
168	18942.69772
169	18873.53228
170	18817.50828
171	18767.85935
172	18728.21568
173	18662.36138
174	18622.50836
175	18603.391
176	18558.29764
177	18534.61579
178	18471.31013
179	18422.71217
180	18374.98476
181	18351.45826
182	18304.88702
183	18253.0285
184	18198.87092
185	18161.69175
186	18102.90269
187	18030.88911
188	17967.08849
189	17960.40662
190	17907.90735
191	17855.99778
