iter	Passed	Remaining
0	6	6206
1	9	4755
2	12	4272
3	16	4040
4	19	3952
5	23	3858
6	26	3786
7	30	3741
8	33	3718
9	37	3672
10	40	3642
11	43	3622
12	47	3608
13	50	3589
14	54	3567
15	57	3542
16	60	3525
17	64	3530
18	68	3539
19	72	3539
20	75	3519
21	79	3513
22	82	3497
23	85	3481
24	88	3466
25	92	3460
26	95	3449
27	98	3436
28	102	3431
29	105	3420
30	109	3417
31	112	3406
32	116	3401
33	119	3394
34	123	3405
35	126	3399
36	130	3390
37	134	3394
38	150	3715
39	154	3703
40	157	3689
41	161	3686
42	165	3678
43	182	3968
44	212	4511
45	215	4478
46	219	4445
47	222	4415
48	226	4391
49	242	4598
50	245	4565
51	248	4536
52	252	4505
53	255	4481
54	259	4455
55	262	4427
56	265	4399
57	269	4374
58	272	4349
59	276	4327
60	279	4303
61	283	4281
62	286	4262
63	289	4240
64	293	4220
65	296	4200
66	300	4183
67	304	4166
68	307	4148
69	310	4128
70	314	4111
71	318	4099
72	321	4086
73	325	4069
74	328	4052
75	332	4037
76	335	4020
77	338	4003
78	342	3987
79	345	3973
80	348	3957
81	352	3941
82	355	3926
83	358	3911
84	361	3896
85	375	3986
86	378	3969
87	381	3955
88	384	3940
89	388	3925
90	391	3911
91	394	3897
92	398	3882
93	401	3868
94	405	3861
95	408	3848
96	412	3836
97	415	3823
98	418	3811
99	422	3800
100	425	3787
101	428	3776
102	432	3765
103	435	3753
104	439	3742
105	442	3730
106	445	3720
107	449	3709
108	452	3698
109	455	3688
110	459	3678
111	462	3669
112	466	3659
113	469	3649
114	473	3640
115	477	3641
116	481	3631
117	484	3621
118	487	3611
119	491	3601
120	494	3591
121	497	3581
122	500	3571
123	504	3562
124	507	3555
125	511	3547
126	514	3538
127	518	3529
128	521	3522
129	525	3513
130	528	3505
131	531	3496
132	535	3488
133	538	3480
134	551	3533
135	554	3523
136	557	3514
137	561	3505
138	564	3497
139	567	3488
140	571	3480
141	574	3472
142	578	3464
143	581	3456
144	584	3448
145	588	3439
146	595	3456
147	598	3447
148	602	3439
149	605	3430
150	608	3422
151	612	3414
152	615	3406
153	618	3399
154	622	3391
155	625	3383
156	628	3376
157	632	3368
158	635	3361
159	639	3356
160	642	3348
161	645	3340
162	649	3332
163	652	3326
164	655	3319
165	659	3311
166	662	3304
167	665	3297
168	669	3290
169	672	3283
170	675	3276
171	679	3269
172	682	3262
173	685	3255
174	689	3248
175	692	3241
176	695	3235
177	699	3228
178	702	3222
179	705	3215
180	709	3209
181	712	3203
182	716	3196
183	719	3190
184	722	3184
185	726	3178
186	729	3171
187	732	3165
188	736	3158
189	739	3152
190	742	3146
191	746	3139
192	749	3133
193	752	3127
194	756	3122
195	759	3115
196	762	3109
197	766	3104
198	769	3098
199	773	3093
200	776	3088
201	780	3083
202	786	3086
203	789	3080
204	792	3074
205	796	3068
206	799	3063
207	803	3059
208	815	3088
209	819	3081
210	822	3075
211	825	3069
212	829	3063
213	832	3058
214	836	3052
215	839	3046
216	842	3040
217	846	3035
218	849	3029
219	853	3024
220	857	3022
221	861	3019
222	875	3049
223	878	3044
224	890	3066
225	894	3062
226	898	3059
227	902	3055
228	905	3049
229	909	3044
230	912	3038
231	916	3033
232	919	3027
233	923	3022
234	926	3016
235	930	3011
236	933	3006
237	937	3002
238	941	2997
239	944	2991
240	948	2986
241	951	2981
242	955	2976
243	959	2971
244	978	3014
245	981	3008
246	984	3001
247	987	2995
248	991	2990
249	994	2984
250	998	2979
251	1001	2973
252	1005	2967
253	1008	2961
254	1011	2955
255	1014	2949
256	1018	2943
257	1021	2938
258	1024	2932
259	1028	2926
260	1031	2920
261	1035	2915
262	1038	2909
263	1041	2904
264	1044	2898
265	1048	2892
266	1051	2886
267	1054	2881
268	1058	2875
269	1061	2869
270	1064	2864
271	1068	2858
272	1071	2853
273	1074	2848
274	1078	2842
275	1081	2837
276	1085	2832
277	1095	2844
278	1098	2839
279	1102	2834
280	1105	2829
281	1109	2824
282	1112	2819
283	1116	2813
284	1119	2807
285	1122	2802
286	1125	2796
287	1129	2791
288	1132	2786
289	1136	2781
290	1139	2776
291	1142	2771
292	1146	2766
293	1150	2763
294	1154	2758
295	1157	2753
296	1161	2749
297	1164	2744
298	1168	2739
299	1171	2734
300	1175	2730
301	1179	2725
302	1183	2721
303	1186	2716
304	1189	2710
305	1193	2706
306	1212	2738
307	1216	2733
308	1219	2727
309	1223	2722
310	1227	2719
311	1230	2714
312	1234	2708
313	1237	2704
314	1241	2700
315	1245	2695
316	1257	2709
317	1261	2704
318	1264	2699
319	1267	2693
320	1271	2689
321	1275	2684
322	1278	2679
323	1281	2674
324	1285	2669
325	1288	2664
326	1292	2659
327	1295	2654
328	1298	2648
329	1302	2643
330	1305	2638
331	1308	2633
332	1312	2628
333	1315	2623
334	1319	2618
335	1322	2613
336	1325	2608
337	1329	2603
338	1332	2598
339	1335	2593
340	1359	2628
341	1374	2645
342	1389	2662
343	1393	2656
344	1396	2651
345	1399	2646
346	1403	2641
347	1406	2635
348	1410	2630
349	1413	2624
350	1416	2619
351	1420	2614
352	1423	2609
353	1427	2604
354	1430	2599
355	1434	2594
356	1437	2589
357	1441	2584
358	1444	2579
359	1447	2574
360	1451	2568
361	1454	2563
362	1457	2558
363	1463	2556
364	1466	2551
365	1469	2546
366	1473	2541
367	1476	2536
368	1480	2531
369	1483	2526
370	1487	2521
371	1490	2516
372	1493	2511
373	1497	2506
374	1500	2501
375	1503	2495
376	1507	2490
377	1510	2485
378	1514	2481
379	1517	2476
380	1521	2471
381	1524	2466
382	1527	2461
383	1531	2456
384	1536	2455
385	1540	2450
386	1543	2445
387	1546	2440
388	1550	2435
389	1554	2430
390	1566	2439
391	1569	2434
392	1572	2429
393	1576	2424
394	1579	2419
395	1582	2413
396	1586	2409
397	1589	2403
398	1592	2398
399	1596	2394
400	1599	2389
401	1602	2384
402	1606	2379
403	1609	2374
404	1612	2369
405	1615	2364
406	1619	2359
407	1622	2354
408	1640	2370
409	1643	2364
410	1646	2359
411	1650	2355
412	1653	2350
413	1656	2345
414	1660	2340
415	1663	2335
416	1667	2330
417	1670	2325
418	1673	2320
419	1677	2315
420	1680	2310
421	1683	2306
422	1687	2301
423	1690	2296
424	1694	2291
425	1697	2287
426	1701	2283
427	1705	2278
428	1708	2273
429	1711	2269
430	1715	2265
431	1719	2260
432	1722	2255
433	1728	2253
434	1731	2249
435	1734	2244
436	1738	2239
437	1741	2235
438	1757	2246
439	1761	2241
440	1772	2246
441	1775	2241
442	1779	2237
443	1782	2232
444	1786	2228
445	1790	2223
446	1793	2218
447	1796	2213
448	1800	2208
